,Period,Close,High,Low,Open,Volume,p_change,Prev Close,TR,atr14,atr21,pct_change,p_score,MA5,MA20,ma5_score,ma20_score,rsi,rsi_score,vol_avg5,vol_avg5_score,z_score,z_score_score,score,score_final
84,2022-10-19,10680.509765625,10808.0400390625,10592.8798828125,10689.3095703125,4955090000.0,0.0008232341508697404,10772.400390625,215.16015625,320.6172572544643,319.11207217261904,-0.008530190270310656,2,10619.85,10764.137890625,1,0,43.61489336806003,0,4826944000.0,1,-0.6524104190313044,3,1.4,40.0
85,2022-10-20,10614.83984375,10837.2998046875,10574.5498046875,10657.41015625,4628010000.0,0.0039944331573871904,10680.509765625,262.75,317.19154575892856,312.8344494047619,-0.00614857561259452,2,10612.987890625,10741.539404296875,1,0,42.41516635891794,0,4692530000.0,0,-0.4864748493648767,3,1.3,36.66666666666667
86,2022-10-21,10859.7197265625,10875.7197265625,10542.4296875,10576.0400390625,4706440000.0,-0.026822864366268646,10614.83984375,333.2900390625,319.58084542410717,319.3934616815476,0.02306957866695325,5,10720.65390625,10741.12890625,1,1,48.14342647258477,0,4755218000.0,0,1.549257950343228,4,2.5,76.66666666666666
87,2022-10-24,10952.6103515625,10983.51953125,10713.330078125,10867.0703125,4808710000.0,-0.007871490346768657,10859.7197265625,270.189453125,312.1279296875,316.3505859375,0.00855368530117695,3,10776.016015625,10748.613427734375,1,1,50.168415930231085,0,4829122000.0,0,0.5378839956762509,3,1.7,50.0
88,2022-10-25,11199.1201171875,11210.3798828125,10996.9697265625,10996.9697265625,5141760000.0,-0.018382372203564246,10952.6103515625,257.76953125,309.14285714285717,317.43722098214283,0.022506941972041616,5,10861.3599609375,10767.09443359375,1,1,55.171316398220135,0,4848002000.0,1,1.510057049314626,4,2.6000000000000005,80.00000000000001
89,2022-10-26,10970.990234375,11205.83984375,10948.3798828125,10969.01953125,5224440000.0,-0.00017966082742268798,11199.1201171875,257.4599609375,314.7349330357143,315.41336495535717,-0.020370339850394603,1,10919.4560546875,10763.061962890624,1,1,50.153117869577,0,4901872000.0,1,-1.4773557808435325,2,1.0,26.666666666666668
90,2022-10-27,10792.669921875,10998.73046875,10780.5,10971.9501953125,4773520000.0,0.016339873062319692,10970.990234375,218.23046875,297.12353515625,310.32147507440476,-0.01625380286469269,2,10955.0220703125,10765.819970703125,0,1,46.58618480190794,0,4930974000.0,0,-1.1905419977815785,2,1.1,30.000000000000004
91,2022-10-28,11102.4501953125,11117.0400390625,10766.2001953125,10766.2001953125,4731940000.0,-0.03123200329735648,10792.669921875,350.83984375,306.4056919642857,306.62718563988096,0.028702839582782413,5,11003.5681640625,10792.161474609375,1,1,52.85862965137147,0,4936074000.0,0,1.9417472878266169,4,2.5,76.66666666666666
92,2022-10-31,10988.150390625,11047.9404296875,10914.009765625,11028.4296875,4753740000.0,0.0036523147915295626,11102.4501953125,188.4404296875,301.5186244419643,300.80482700892856,-0.010295007199019768,2,11010.676171875,10800.797509765625,0,1,50.502119732813874,0,4925080000.0,0,-0.7753714956578347,3,1.3,36.66666666666667
93,2022-11-01,10890.849609375,11156.349609375,10881.1904296875,11154.740234375,4677520000.0,0.023657263141528082,10988.150390625,275.1591796875,312.43568638392856,299.6295572916667,-0.00885506457328944,2,10949.0220703125,10786.519482421874,0,1,48.519123710241516,0,4832232000.0,0,-0.6750455679879637,3,1.3,36.66666666666667
